id,timestamp,beacon_id,est_x,est_y,pi_ids_used,actual_x,actual_y,obs_x,obs_y,kf_x,kf_y,calc_method,user_name,job_title,department,status
579,2025-11-25 02:30:41,1AFD3201-5C66-4F98-A201-B778A7FF0912,5328.000,2692.000,"7,1,3",4835.000,3115.000,5340.0,3045.0,5328.0,2692.0,SHAPELY,ゲスト,unknown,other,available
578,2025-11-25 02:30:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,6237.000,"8,3,7",3035.000,6230.000,4835.0,5448.0,-206.0,6237.0,SHAPELY,Dazzy,manager,dev_team,available
577,2025-11-25 02:30:11,1AFD3201-5C66-4F98-A201-B778A7FF0912,5735.000,3135.000,"7,1,3",4835.000,3115.000,5312.0,2975.0,5607.0,3102.0,SHAPELY,ゲスト,unknown,other,available
576,2025-11-25 02:30:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,4978.000,"8,3,7",3035.000,6230.000,4835.0,5383.0,113.0,4978.0,SHAPELY,Dazzy,manager,dev_team,available
575,2025-11-25 02:29:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,5186.000,"8,3,7",3035.000,6230.000,4835.0,5465.0,-680.0,5186.0,SHAPELY,Dazzy,manager,dev_team,available
574,2025-11-25 02:29:39,1AFD3201-5C66-4F98-A201-B778A7FF0912,5856.000,2134.000,"7,1,3",4835.000,3115.000,5349.0,3066.0,5856.0,2134.0,SHAPELY,ゲスト,unknown,other,available
573,2025-11-25 02:29:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,3996.000,"8,3,7",3035.000,6230.000,4836.0,5345.0,-654.0,3996.0,SHAPELY,Dazzy,manager,dev_team,available
572,2025-11-25 02:29:06,1AFD3201-5C66-4F98-A201-B778A7FF0912,5735.000,1800.000,"7,1,3",4835.000,3115.000,5324.0,3004.0,5598.0,2080.0,SHAPELY,ゲスト,unknown,other,available
571,2025-11-25 02:28:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,433.000,3806.000,"8,3,7",3035.000,6230.000,4857.0,5298.0,433.0,3806.0,SHAPELY,Dazzy,manager,dev_team,available
570,2025-11-25 02:28:35,1AFD3201-5C66-4F98-A201-B778A7FF0912,5894.000,2350.000,"7,1,3",4835.000,3115.000,5338.0,3039.0,5894.0,2350.0,SHAPELY,ゲスト,unknown,other,available
569,2025-11-25 02:28:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1012.000,4519.000,"8,3,7",3035.000,6230.000,4835.0,5301.0,1012.0,4519.0,SHAPELY,Dazzy,manager,dev_team,available
568,2025-11-25 02:28:03,1AFD3201-5C66-4F98-A201-B778A7FF0912,5735.000,3135.000,"7,1,3",4835.000,3115.000,5325.0,3008.0,5441.0,2963.0,SHAPELY,ゲスト,unknown,other,available
567,2025-11-25 02:27:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,3795.000,"8,3,7",3035.000,6230.000,4836.0,5410.0,1318.0,3752.0,SHAPELY,Dazzy,manager,dev_team,available
566,2025-11-25 02:27:31,1AFD3201-5C66-4F98-A201-B778A7FF0912,4841.000,2547.000,"7,1,3",4835.000,3115.000,5323.0,3009.0,4841.0,2547.0,SHAPELY,ゲスト,unknown,other,available
565,2025-11-25 02:27:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,3195.000,"8,3,7",3035.000,6230.000,4835.0,5459.0,1266.0,3232.0,SHAPELY,Dazzy,manager,dev_team,available
564,2025-11-25 02:26:58,1AFD3201-5C66-4F98-A201-B778A7FF0912,5308.000,2557.000,"7,1,3",4835.000,3115.000,5369.0,3115.0,5308.0,2557.0,SHAPELY,ゲスト,unknown,other,available
563,2025-11-25 02:26:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,2587.000,3538.000,"8,3,7",3035.000,6230.000,4837.0,5373.0,1635.0,3538.0,SHAPELY,Dazzy,manager,dev_team,available
562,2025-11-25 02:26:24,1AFD3201-5C66-4F98-A201-B778A7FF0912,5234.000,2474.000,"7,1,3",4835.000,3115.000,5287.0,2914.0,5234.0,2474.0,SHAPELY,ゲスト,unknown,other,available
561,2025-11-25 02:26:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,2441.000,4374.000,"8,3,7",3035.000,6230.000,4834.0,5449.0,2441.0,4374.0,SHAPELY,Dazzy,manager,dev_team,available
560,2025-11-25 02:25:53,1AFD3201-5C66-4F98-A201-B778A7FF0912,5393.000,2540.000,"7,1,3",4835.000,3115.000,5241.0,2800.0,5393.0,2540.0,SHAPELY,ゲスト,unknown,other,available
559,2025-11-25 02:25:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,2027.000,4792.000,"8,3,7",3035.000,6230.000,4863.0,5308.0,2027.0,5266.0,SHAPELY,Dazzy,manager,dev_team,available
